school_name,web_address
ACADEMY FOR SCIENCE AND DESIGN CHARTER (H),https://www.asdnh.org/
ALVIRNE HIGH SCHOOL,https://www.sau81.org/ahs/schoolcounseling/courseselection
BEDFORD HIGH SCHOOL,https://sites.google.com/bedfordnhk12.net/bhsbulldogs/home
BELMONT HIGH SCHOOL,https://bhs.sau80.org/
BERLIN SENIOR HIGH SCHOOL,https://www.sau3.org/?openSearch=true
BOW HIGH SCHOOL,https://bhs.bownet.org/
CAMPBELL HIGH SCHOOL,https://www.litchfieldsd.org/campbellhighschool_home.aspx
COE-BROWN NORTHWOOD ACADEMY,https://coebrown.org/
CONANT HIGH SCHOOL,https://cmhs.sau47.org/
CONCORD HIGH SCHOOL,https://chs.sau8.org/
CONVAL REGIONAL HIGH SCHOOL,https://cvhs.convalsd.net/
CSI CHARTER SCHOOL,https://www.csicharterschool.org/
DOVER SENIOR HIGH SCHOOL,https://dhs.dover.k12.nh.us/
EPPING HIGH SCHOOL,https://www.sau14.org/emhs
FALL MOUNTAIN REGIONAL HIGH SCHOOL,https://fmrhs.sau60.org/
FARMINGTON SENIOR HIGH SCHOOL,https://fhs.sau61.org/
FRANKLIN HIGH SCHOOL,https://www.sau18.org/o/fhs
GILFORD HIGH SCHOOL,https://ghs.sau73.org/
GOFFSTOWN HIGH SCHOOL,https://www.goffstown.k12.nh.us/index.php/schools-2/goffstown-high-school
GROVETON HIGH SCHOOL,https://www.sau58.org/o/ghs
HANOVER HIGH SCHOOL,https://hhs.sau70.org/
HINSDALE HIGH SCHOOL,http://www.hnhsd.org/~hmhs/
HOLLIS-BROOKLINE HIGH SCHOOL,https://www.myhbhs.org/
HOPKINTON HIGH SCHOOL,https://hmhs.hopkintonschools.org/
INTER-LAKES HIGH SCHOOL,https://ilmhs.interlakes.org/
JOHN STARK REGIONAL HIGH SCHOOL,https://www.jsrhs.net/
KEARSARGE REGIONAL HIGH SCHOOL,https://www.kearsarge.org/high-school
KEENE HIGH SCHOOL,https://khs.keeneschoolsnh.org/
KENNETT HIGH SCHOOL,https://www.khsmwv.com/
KINGSWOOD REGIONAL HIGH SCHOOL,https://www.kingswoodhighschool.org/our-school/krhs-counseling-center
KREIVA ACADEMY PUBLIC CHARTER SCHOOL (H),https://www.kreiva.org/
LEBANON HIGH SCHOOL,https://lhs.sau88.net/
LISBON REGIONAL SCHOOL (HIGH),https://www.lisbon.k12.nh.us/
MASCENIC REGIONAL HIGH SCHOOL,https://www.mascenic.org/o/mrhs
MASCOMA VALLEY REGIONAL HIGH SCHOOL,https://mvrhs.mascomaschools.org/
MERRIMACK HIGH SCHOOL,https://www.sau26.org/domain/2555
MERRIMACK VALLEY HIGH SCHOOL,https://mvhs.mvsdpride.org/
MILFORD HIGH SCHOOL,https://mhs.milfordk12.org/
MONADNOCK REGIONAL HIGH SCHOOL,https://www.mrsd.org/Domain/268
MOULTONBOROUGH ACADEMY,https://ma-hs.sau45.org/en-US
NASHUA HIGH SCHOOL NORTH,https://www.nashua.edu/north
NASHUA HIGH SCHOOL SOUTH,https://www.nashua.edu/south
NEWFOUND REGIONAL HIGH SCHOOL,https://nrhs.sau4.org/
NEWMARKET JR.-SR. HIGH SCHOOL,https://www.newmarket.k12.nh.us/schools/newmarket-jr-sr-high-school/
NEWPORT MIDDLE HIGH SCHOOL (HIGH),https://www.sau43.org/o/nhs
NEXT CHARTER SCHOOL,https://nextcharterschool.org/
NORTH COUNTRY CHARTER ACADEMY (H),https://www.northcountrycharteracademy.com/
NUTE HIGH SCHOOL,https://www.sau64.org/o/nmhs
OYSTER RIVER HIGH SCHOOL,https://www.orcsd.org/orhs
PELHAM HIGH SCHOOL,https://www.pelhamsd.org/pelhamhighschool_home.aspx
PEMBROKE ACADEMY,https://pa.sau53.org/en-US?showHomepage=true
PINKERTON ACADEMY,https://www.pinkertonacademy.org/
PITTSBURG SCHOOL (HIGH),https://www.pittsburgschool.sau7.org/guidance
PITTSFIELD HIGH SCHOOL,https://sau51.org/pmhs/
PLYMOUTH REGIONAL HIGH SCHOOL,https://prhs.pemibaker.org/
PORTSMOUTH HIGH SCHOOL,https://www.cityofportsmouth.com/school/phs
PROFILE SENIOR HIGH SCHOOL,https://www.profile.k12.nh.us/
PROSPECT MOUNTAIN HIGH SCHOOL,https://pmhs.pmsau.org/
RAYMOND HIGH SCHOOL,https://www.sau33.com/raymond-high-school
SALEM HIGH SCHOOL,https://sau57.org/shs
SANBORN REGIONAL HIGH SCHOOL,https://www.sau17.org/1/Home
SOMERSWORTH HIGH SCHOOL,https://highschool.sau56.org/home
SOUHEGAN COOP HIGH SCHOOL,https://sau39shs.ss20.sharpschool.com/
SPARK ACADEMY OF ADVANCED TECHNOLOGIES CHARTER SCHOOL,https://www.sparkacademynh.org/
SPAULDING HIGH SCHOOL,https://www.rochesterschools.com/o/shs
STEVENS HIGH SCHOOL,https://shs.sau6.org/
SUNAPEE SR. HIGH SCHOOL,https://sunapeeschoolshs.ss19.sharpschool.com/
THE FOUNDERS ACADEMY CHARTER SCHOOL (H),https://www.thefoundersacademy.org/
TIMBERLANE REGIONAL HIGH SCHOOL,https://www.timberlane.net/hs/
VIRTUAL LEARNING ACADEMY (H),https://vlacs.org/courses/?_vlacs_competencies_competency_subject=computer-science
WHITE MOUNTAINS REGIONAL HIGH SCHOOL,https://wmrhs.sau36.org/
WILTON-LYNDEBORO SENIOR HIGH SCHOOL,https://www.sau63.org/WLC
WINDHAM HIGH SCHOOL,https://whs.windhamsd.org/
WINNACUNNET HIGH SCHOOL,https://www.winnacunnet.org/
WINNISQUAM REGIONAL HIGH SCHOOL,https://wrhs.wrsdsau59.org/en-US
LEDYARD CHARTER SCHOOL,https://www.ledyardcharterschool.com/
LONDONDERRY SENIOR HIGH SCHOOL,https://lhs.londonderry.org/
MANCHESTER CENTRAL HIGH SCHOOL,https://central.mansd.org//
MANCHESTER MEMORIAL HIGH SCHOOL,https://memorial.mansd.org/
MANCHESTER SCHOOL OF TECHNOLOGY (HIGH SCHOOL),https://mst.mansd.org/
EXETER HIGH SCHOOL,https://ehs.sau16.org/en-US
LITTLETON HIGH SCHOOL,https://littletonpublicschools.net/schools/littleton-high-school
MANCHESTER WEST HIGH SCHOOL,https://west.mansd.org/
WOODSVILLE HIGH SCHOOL,https://www.woodsvillehighschool.com/
GORHAM HIGH SCHOOL,https://www.gmhsnh.org/students
GATHERING WATERS CHARTER SCHOOL (H),https://www.gatheringwaterscharter.org/curriculum
HILLSBORO-DEERING HIGH SCHOOL,https://www.hdsd.org/Domain/157
LEAF CHARTER SCHOOL,https://www.leafschoolnh.org/
LIN-WOOD PUBLIC SCHOOL (HIGH),https://www.lin-wood.org/
MAKING COMMUNITY CONNECTIONS CHARTER SCHOOL - MONADNOCK,https://mc2school.org/
ARTS ACADEMY OF NEW HAMPSHIRE CHARTERED PUBLIC HIGH SCHOOL,https://www.artsacademynh.org/
BUD CARLSON ACADEMY,https://www.rochesterschools.com/o/bca
COLEBROOK ACADEMY,https://www.csd.sau7.org/
COMPASS CLASSICAL ACADEMY CHARTER SCHOOL (H),https://compassclassicalacademy.com/
GREAT BAY CHARTER SCHOOL (H),https://www.gbecs.org/
LACONIA HIGH SCHOOL,https://www.lhssau30.org/
